"","ITS2.type.profile.UID","Clade","Majority.ITS2.sequence","Associated.species","ITS2.profile.abundance.local","ITS2.profile.abundance.DB","ITS2.type.profile","Sequence.accession...SymPortal.UID","Average.defining.sequence.proportions.and..stdev."
"397",2025507,"C","C3","Cladocopium goreaui,Cladocopium latusorum,Cladocopium pacificum,Cladocopium proliferum,Cladocopium vulgare,Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum",1,25,"C3/C1-C1c-C6a","32-2-4676-308","0.627[nan]-0.260[nan]-0.070[nan]-0.043[nan]"
"398",2027068,"C","C21","Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum",1,4,"C3an/C21-C3-C3bb-C21by-C3s","41-32-982-1354-71431-38269","0.288[nan]-0.235[nan]-0.180[nan]-0.165[nan]-0.067[nan]-0.065[nan]"
"399",2027073,"C","C1","Cladocopium goreaui,Cladocopium latusorum,Cladocopium pacificum,Cladocopium proliferum,Cladocopium vulgare,Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum",1,7,"C3/C1-C21ae-C3de-C1c-C3bb-C3s-C3dk-C3an","2-32-308-2554-982-38767-1354-71161-38269","0.543[nan]-0.172[nan]-0.114[nan]-0.041[nan]-0.039[nan]-0.032[nan]-0.024[nan]-0.019[nan]-0.015[nan]"
"400",2029661,"C","C1","Cladocopium goreaui,Cladocopium latusorum,Cladocopium pacificum,Cladocopium proliferum,Cladocopium vulgare,Cladocopium goreaui,Cladocopium latusorum,Cladocopium pacificum,Cladocopium proliferum,Cladocopium vulgare",1,491,"C1/C1c-C1b-C72k-C3ju-C42.2","2-308-835-4-834-1","0.779[nan]-0.127[nan]-0.038[nan]-0.034[nan]-0.015[nan]-0.006[nan]"
"401",2025600,"C","C3xs","None",1,44,"C1nw/C3xs","21974-8064","0.873[nan]-0.127[nan]"
"402",2025320,"C","C21","Cladocopium goreaui,Cladocopium latusorum,Cladocopium pacificum,Cladocopium proliferum,Cladocopium vulgare",1,284,"C21/C1","41-2","0.726[nan]-0.274[nan]"
"403",2023284,"C","C3","Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum",1,45,"C3-C1-C6a-C3y","32-2-4676-2414","0.725[nan]-0.114[nan]-0.101[nan]-0.060[nan]"
"404",2027404,"C","C3an","None",1,91,"C21/C3an","1354-41","0.860[nan]-0.140[nan]"
"405",2025877,"C","C3","Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum",1,8,"C3-C21-C3an-C3fc-C3bb-C3s-C3b-C3de","32-41-1354-982-38269-80-12353-2554","0.485[nan]-0.197[nan]-0.095[nan]-0.093[nan]-0.061[nan]-0.039[nan]-0.025[nan]-0.006[nan]"
"406",2023367,"C","C3","Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum",1,21,"C3/C3dm-C3de-C3bb-C3cd-C21ae-C3an-C3s-C3dk","32-2554-71399-982-38767-53704-1354-38269-71161","0.291[nan]-0.172[nan]-0.118[nan]-0.108[nan]-0.101[nan]-0.056[nan]-0.053[nan]-0.050[nan]-0.050[nan]"
"407",2026442,"C","C3","Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum",1,3,"C3-C3de-C1-C21ae-C3bb-C3an-C3dk-C3s","32-2-2554-38767-982-71161-1354-38269","0.496[nan]-0.262[nan]-0.063[nan]-0.052[nan]-0.035[nan]-0.035[nan]-0.030[nan]-0.028[nan]"
"408",2027480,"C","C7","None",1,34,"C7","3332","1.000[nan]"
"409",2026464,"C","C3","Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum",1,4,"C3-C1-C3de-C21ae-C3bb-C3s","32-2-2554-38767-982-38269","0.764[nan]-0.067[nan]-0.059[nan]-0.050[nan]-0.039[nan]-0.021[nan]"
"410",2026486,"C","C7","Cladocopium goreaui,Cladocopium latusorum,Cladocopium pacificum,Cladocopium proliferum,Cladocopium vulgare",1,59,"C7/C1","3332-2","0.949[nan]-0.051[nan]"
"411",2023928,"C","C1","Cladocopium goreaui,Cladocopium latusorum,Cladocopium pacificum,Cladocopium proliferum,Cladocopium vulgare",1,603,"C1-C1c-C1al-C1b-C72k","2-308-4-835-828","0.736[nan]-0.189[nan]-0.027[nan]-0.026[nan]-0.022[nan]"
"412",2027858,"D","D1","Durusdinium trenchii,Durusdinium glynnii,Durusdinium trenchii",7,1105,"D1/D4/D2-D4c-D1c","853-854-1730-2308-855","0.600[0.021]-0.225[0.023]-0.104[0.016]-0.045[0.010]-0.026[0.008]"
"413",2029769,"D","D1","Durusdinium trenchii,Durusdinium glynnii,Durusdinium trenchii",3,850,"D1/D2-D4-D4c-D1c-D17d-D17c-D1r-D17e","853-854-1730-2582-944-855-2308-2587-1759","0.562[0.013]-0.178[0.028]-0.067[0.015]-0.046[0.007]-0.035[0.004]-0.033[0.017]-0.031[0.018]-0.026[0.005]-0.021[0.002]"
"414",2028086,"D","D1","Durusdinium trenchii,Durusdinium glynnii,Durusdinium trenchii",1,124,"D1-D4-D4c-D2-D1c-D17d","853-854-2582-855-1730-2308","0.599[nan]-0.183[nan]-0.081[nan]-0.051[nan]-0.051[nan]-0.036[nan]"
"415",2028835,"D","D1","Durusdinium trenchii,Durusdinium glynnii,Durusdinium trenchii",1,163,"D1-D4-D4c-D2-D1c-D1fw","853-854-1730-855-2308-1776","0.620[nan]-0.215[nan]-0.080[nan]-0.041[nan]-0.038[nan]-0.006[nan]"
"416",2027844,"D","D1","Durusdinium trenchii,Durusdinium glynnii,Durusdinium trenchii",1,128,"D1/D4/D4c","853-854-1730","0.667[nan]-0.199[nan]-0.135[nan]"
"417",2027851,"D","D1","Durusdinium trenchii,Durusdinium glynnii,Durusdinium trenchii",1,77,"D1-D4-D4c-D1c","853-854-1730-2308","0.595[nan]-0.232[nan]-0.111[nan]-0.062[nan]"
